ID,Answer
0,長劍
1,《諸羅縣志》
2,袁晁率
3,柏林陸軍學院
4,長盤勝負
5,田漢作詞，聶耳
6,1874年
7,西漢的版圖向西擴張
8,雪梨
9,郵值標籤
10,周星馳
11,秀吉
12,無障礙環境
13,anticipation，即預測
14,2007年
15,硫化氫
16,華萊士
17,因為外面的部份溫度會比內部核心的低。主序星或巨星的核心溫度至少有107克耳文，這樣的溫度在主序列恆星的核心要燃燒氫進行核融合反應是綽綽有餘的
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1858年
25,外交活動
26,拉丁文
27,
28,1964年
29,唐氏
30,文化大革命
31,阿普列尤斯
32,灣仔
33,萬里石塘
34,約翰·布蘭豪
35,1964年
36,新北市
37,白色
38,違憲審查
39,南人
40,南宋
41,萬尼瓦爾·布希
42,90%
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,航天技術
48,1932年
49,自大型購物中心[UNK]開幕後
50,康熙帝
51,工學部第一教學樓
52,1960年代
53,亞歷山大一世被刺殺
54,米利都
55,基督教
56,阿爾法版本
57,100萬
58,新北市
59,《南早》
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,夫餘對漢軍的援助，高句麗的攻擊沒能取得勝利。146年，太祖王襲擾樂浪郡，殺帶方縣令，掠樂浪太守妻子。高句麗的擴張與集權化
66,李宗仁
67,五代
68,噴射發動機
69,弘治十二年
70,亞洲
71,1994年
72,資本主義陣營的德意志聯邦共和國
73,氦
74,傳教士的主保
75,交通運輸部
76,大韓生命保險公司大樓
77,朱少文
78,
79,俾斯麥
80,金泳三
81,1958年
82,知覺
83,科龍港
84,蓋爾人
85,十二平均律
86,西漢元封二年
87,隋滅南陳
88,五胡
89,1861年
90,豐臣秀吉
91,三吳地區
92,反應式
93,全國人大
94,國立武昌高等師範學校
95,荷蘭語
96,1934年
97,檸檬酸咖啡因療法
98,1876年
99,1949年
100,大象
101,1915年
102,1600年
103,類型
104,美國
105,
106,仁祖
107,十個
108,佛學論書
109,北海道大學
110,
111,三天
112,1944年
113,帝國
114,巴夏禮
115,哈林河
116,孟加拉
117,樂比賽
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,全國人民代表大會
122,阿拉伯人
123,五德終始說
124,高句麗安藏王被刺殺
125,喃字的複雜及未標準化
126,瑞派克路
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此
129,林家
130,用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,兩波
139,1941年
140,高速攝影
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,蘇頌
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1955年
153,就業保障制度
154,清光緒十七年
155,曼特爾最初打算將牠們命名為[UNK]
156,國共內戰戰況失利
157,古斯塔夫·鮑爾
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1969年初
162,63位
163,副大法官
164,古希臘時代
165,斯瓦希里語
166,九龍灣區。而該區域以西的舊啟德機場跑道及停機坪等設施，也是從九龍灣的海灣填海
167,南京
168,農業
169,[UNK]
170,9月4日
171,1999年
172,《天淨沙》
173,後
174,公元68年
175,趙佗
176,艾德溫·史密斯紙草文稿》
177,岑智明
178,普法戰爭
179,公元前362年
180,創建強力政府
181,28歲
182,1948年7月
183,保加利亞
184,三大優點
185,10度
186,自由黨
187,亞非
188,波士頓
189,1992年
190,下旋球
191,屯田兵制度
192,明朝
193,1498年
194,2000年
195,1998年-2008年間
196,考古
197,德
198,森林
199,阿森納女子足球俱樂部為阿森納的屬會。成立於1987年，是英格蘭最成功的女子隊，先後贏得12次英格蘭女子足球超級聯賽冠軍、10次英格蘭女子足協盃及10次英格蘭女子聯賽盃
200,多黨制
201,
202,1920年
203,美元
204,多倫多
205,在軌道上驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,數位訊號
210,生命力與流動性
211,亞歷山大一世
212,柏林國際影展是一個在德國柏林舉行的影展，該影展與義大利的威尼斯影展
213,熱帶
214,新北市
215,聯盟
216,甲午戰爭
217,唐努烏梁海如今通常只指俄羅斯聯邦的「圖瓦共和國」，面積為17萬平方公里，屬於西伯利亞聯邦管區的一部分，首府為克孜勒
218,三分天災
219,好在歷史是人民寫的
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1449年
225,君主
226,多瑙河
227,
228,美國發明家
229,2006年
230,在1927年終於找到爆炸地點
231,《人體器官移植條例》
232,1262年
233,荷蘭東印度公司
234,三倍
235,自身的重力繼續向內坍縮。一旦耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2014年
238,1973年
239,世界第六
240,學業壓力
241,鋁土礦
242,現代化建築
243,阿美族
244,黑死病
245,2013年
246,赫爾伯特·查普曼帶領球隊。於5年間，他建立了一隊全新的阿森納，委任湯·韋迪加
247,由於據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,洛杉磯湖人
250,溥[UNK]
251,中共中央革命軍事委員會副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1951年
256,拼音方案，是為漢語拼音方案
257,1984年
258,高架車站
259,
260,法蘭西第二帝國
261,商業
262,英格蘭女子聯賽盃
263,提高狀態意識的掌握
264,哥白尼日心說
265,濃度低
266,雍正年間皇帝
267,
268,1848年
269,1979年
270,1998年
271,共同民主黨
272,《南華早報》
273,酸性氣體，濃度低時帶惡臭
274,佛像
275,阿聯
276,交通基建
277,紅軍
278,田川氏
279,以天狼星在東方地平線的出現
280,類和哺乳類動物的心臟的特殊傳導系統已完善。人的起搏細胞
281,1975-1985年間
282,德語地區
283,女神大橋
284,1237年
285,帝國
286,傅亮
287,奧地利
288,美國律師協會
289,約翰·布蘭豪
290,清
291,高句麗
292,胡安·林茲
293,日本
294,1998年1月1日
295,兩種運動
296,孟懷玉
297,細胞外的鈣離子
298,383年
299,迪尼奧
300,慕容垂
301,火山活動
302,利奧三世
303,拉丁字母
304,
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,總體
314,1083種
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,視桿細胞
321,1928年
322,期貨合約
323,十多個
324,300美元
325,楊宇霆
326,大力發展體育事業
327,元世祖
328,
329,數學
330,亞熱帶季風氣候
331,日本警察廳公布自殺統計顯示，2000年後已經連續14年有超過3萬人自殺。2009年日本全國自殺人數暫定值32753人中，男性為23406人，女性為9347人，比2008年再增504人。從月份
332,
333,朱一貴
334,從事農業生產
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維州長
340,東漢
341,1980年
342,耶柔米自希伯來文
343,
344,2010年
345,武漢
346,1869年
347,托土拉島
348,美國
349,倫敦奈米技術中心
350,騎山路時
351,岡仁波齊
352,1973年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,民主制度
357,硫礦
358,丹尼索瓦人混血
359,帝國統治權
360,中國
361,2000年
362,管狀
363,空軍
364,1955年
365,韓國
366,維京戈達島、阿內加達島和約斯特范大克島
367,1964年
368,史都華中校
369,1910年
370,漢人君主
371,中亞新興大國花剌子模在沙阿摩訶末時期崛起
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,
378,他早年違反了一次
379,手機照片
380,孔子
381,上海國歌紀念廣場
382,2005年
